클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
169,19650,3097,1542,1575,16648,45283,98419,221341,316980,238710,190761,185740,200144,210010,216356,241890,266569,287290,327195,253374,185605,169566,144191,75090
170,110161,9836,6195,4717,53783,250666,558346,1353687,1649046,1111496,824961,785439,848027,874234,868434,1007079,1169314,1287492,1504773,1142478,872620,831386,785987,422270
171,9853,3474,238,162,6642,15648,34265,77315,84263,61230,51003,50808,56634,56774,57100,67533,75074,75166,88730,80670,60683,56303,50897,28436
172,10234,467,0,0,7282,22994,53570,153032,219981,180534,142269,142430,156707,171868,173409,207412,227718,224140,224167,148721,116138,108400,90634,43767
174,20664,2493,1544,1430,11732,38796,58705,150110,202379,150945,142932,130139,127422,142692,139452,148722,177822,183922,184787,145682,114811,113208,108155,69949
175,10942,75,61,52,2654,19392,53292,124282,147064,109941,94480,97243,107137,112882,111403,126836,148870,146914,164878,131551,96175,86660,84691,44861
176,11618,964,341,117,9118,18181,33818,84162,98054,65300,53031,49699,55178,55919,55241,69518,75994,74215,80357,67395,49618,47167,44550,25392
177,7778,2156,1072,1108,5704,12726,31045,110642,132277,63926,45575,44242,45329,49754,47731,61305,70114,74157,81568,64154,43170,37369,35206,17331
178,10222,2375,51,0,4967,18105,47206,114860,123815,70520,54836,52043,59245,60657,60883,80658,94964,92351,103177,80260,54990,52230,52933,28836
179,33451,15117,5901,3365,19505,27740,86353,194432,270936,174029,126816,124119,137644,142792,141431,167783,198240,232920,282994,195683,153267,143142,126256,71894
180,40138,9939,7061,5745,32998,73510,140502,343070,427188,317588,254079,252298,274686,292345,300769,340511,393186,422827,491705,386582,292992,278413,276478,132479
181,6829,666,47,0,2566,10828,23655,62274,76759,56044,45672,43694,48346,53957,49346,59286,70822,66954,72458,55641,41928,39915,42182,22230
182,6802,84,0,0,1004,7021,13310,28020,46163,52220,38611,34134,40420,48976,44156,45231,52788,58029,62753,50178,38664,38332,38031,23642
183,27205,6670,5039,6947,55219,98770,137032,337941,493171,312067,204906,187609,203405,208108,211227,235771,264799,339983,415455,315122,224713,208256,161179,94743
184,40206,20669,12051,9962,18808,44973,69196,140149,247828,225258,237497,261628,277263,294467,308818,317769,313882,327698,312759,195057,141406,125352,102207,61264
185,56738,26999,12207,6832,32893,65522,141781,336945,343106,254122,219954,222218,234608,232519,239047,280682,335717,324228,361801,326580,245245,222476,210829,125580
186,14108,1396,892,688,12314,41488,76652,196915,239127,158682,118786,115233,123248,125902,124092,147575,172349,182008,217299,161720,119895,108760,105256,53301
187,13309,1629,804,864,9196,23853,62740,157311,238745,161065,119729,111153,117869,123250,125644,143080,160086,186881,215542,161530,115395,103186,93229,47460
188,5470,443,0,1498,6982,21901,42542,85796,103739,63456,51409,44527,46704,48289,46296,57403,70570,91098,107454,75671,55206,50312,41937,17310
189,2474,202,30,0,0,2137,5258,12158,29991,47271,44599,33980,41773,39946,30128,39697,37530,42943,48918,32181,26442,22715,19556,12383
190,11614,3240,1765,1751,9207,18635,35981,100339,112953,84850,68115,69002,71683,73920,70201,77810,98416,92937,100578,88419,64579,61317,57109,29763
191,30528,4392,1558,1464,19628,66408,133157,335556,407572,288320,228622,214699,237363,240700,241950,292520,339427,349570,404879,319201,239901,226612,213208,112930
192,45998,16716,10458,8384,26307,60519,118264,270462,359552,276830,242209,233809,252058,263060,273001,305280,354703,385940,422519,326437,256872,236250,209849,117322
193,56093,6290,3310,4004,63790,144880,242942,540616,672282,470346,363731,341345,366929,382002,373243,428104,493645,549598,596719,444222,341627,320067,292836,157304
194,9452,1087,495,621,3532,16367,32737,82046,115185,69775,52195,49478,52811,55696,55579,69917,76231,84572,104328,69640,53024,50539,46840,27613
195,19572,9877,5780,4162,11258,29885,54443,116663,151870,118853,97519,97931,102461,106632,104054,114421,127322,133314,151471,128299,99617,94605,87434,51206
196,143757,47560,26998,20960,95475,323210,407600,773538,1182700,901040,759580,837623,905432,949036,945300,1039964,1095160,1323008,1396099,901393,723213,693592,571508,330091
197,7715,2087,1097,904,4293,12926,30734,73314,111100,78108,62375,64931,72736,76496,73833,83326,92224,95375,112178,80890,61468,58999,59452,29658
198,16868,1152,0,0,4839,19939,74583,169622,160095,113972,93546,95024,105717,106556,105610,125788,140311,150305,172252,154370,111703,108862,110892,59126
199,8311,1427,996,797,5965,20554,43187,96092,131483,82797,67022,63479,70974,73583,71059,84811,95382,94019,107252,83124,63017,59410,52124,26669
200,19057,3463,1698,1413,18631,33962,84907,198776,229944,137424,124173,134817,138117,151010,152649,180584,194872,197718,203732,175182,125760,107695,91869,51923
201,15890,5190,3417,2812,7671,30768,56596,132661,196964,137651,106987,104640,114842,116875,115187,130997,144642,161082,187572,155214,114875,107333,95442,53069
202,49641,16009,13009,11127,27546,86276,145301,276237,386991,264556,208238,196734,214744,227550,222666,246916,280443,325682,405040,318105,232282,217361,190852,118868
203,24056,3563,1811,1813,21613,53766,126787,307379,348843,243814,199746,190408,204408,213863,207726,242605,285419,291086,323473,275212,199067,182862,177310,90027
204,4930,2629,1674,1356,5101,8640,20330,54047,50799,29593,21996,20708,21430,22607,21544,27889,32910,30928,33867,31757,21252,19237,17756,9988
205,46788,22055,14719,12701,25224,87201,129686,293290,506803,378233,228548,216426,236436,262382,268914,303580,332621,405694,488627,316638,256111,243919,206599,96784
206,6622,3688,2122,1530,3656,10758,15729,37606,49962,36272,31075,33617,34202,35927,33980,41097,47143,42330,45826,39963,31180,29992,30028,16458
207,113395,50822,32109,25262,34762,131619,209015,441399,673921,593386,519168,519576,593128,649962,629349,692240,773724,847758,908885,668526,552084,547268,520831,280213
208,8733,1932,2060,2042,7247,21531,75638,234830,214313,107704,79610,75721,83755,80618,81850,118175,151511,133062,168756,142726,90250,85295,67318,40459
209,2553,238,0,0,761,5882,8345,20531,22003,14005,13019,12963,15214,17157,17389,18534,21092,22336,25852,16961,12341,11973,11218,6249
210,375,139,8,0,352,1578,2767,6033,12444,5179,3703,3720,3977,3941,4189,5568,9973,9270,7394,4040,3008,2081,1610,749
211,47519,14095,4753,4028,18780,79587,148199,339543,448937,327095,232075,230663,241529,255852,266261,302281,347795,417050,496475,344525,276265,274907,244944,138219
212,17880,10515,6308,5134,8687,23954,68029,147743,217019,161148,117255,114077,123028,133299,135392,152466,167996,183963,216618,157938,128079,126709,121971,54699
213,47072,5900,1482,1184,38569,98494,198264,452741,538544,386576,315179,308669,327912,342664,338201,392135,456174,464337,513039,419425,315436,295278,266216,141033
214,17884,3294,2985,3189,18876,40133,81122,152141,163237,121119,98844,94366,107119,104825,101682,122462,140451,150251,168392,152129,107103,100607,85931,53773
215,5501,1526,201,164,2692,7922,23575,62932,64664,41897,37523,36399,38349,37455,36812,49484,54884,47696,50248,44379,31541,29004,28468,13876
216,1589,334,186,261,453,9569,16682,37764,62657,48697,28592,26637,26217,29347,29264,34827,36888,36884,44835,30178,22977,23235,19478,8691
