클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
119,60739,9687,3901,2826,48021,111444,191649,433139,597752,409357,311654,292811,316315,330373,322350,363210,423167,461619,535529,454507,325031,307834,296067,179908
120,12835,1003,489,332,9321,24195,60480,131478,124064,87043,75965,72187,76047,81127,75836,93103,118857,121705,118734,102667,76567,69472,64593,37989
121,27730,1416,0,0,2854,44145,84530,194389,310935,258225,276626,238791,243756,242273,260173,256123,289150,321042,346084,268652,216534,222878,210517,144192
122,3578,0,0,0,273,19447,66387,177876,258037,148582,84465,74487,83238,83811,88097,103346,118074,153547,208925,170380,107031,101679,86359,46161
123,8435,244,110,84,1317,13589,39124,94662,113062,81764,64031,60297,67713,73781,71100,74811,95844,101579,110867,92381,68622,68682,83750,43187
124,52101,7369,9409,8390,49170,152435,348531,731674,842823,626217,499711,485432,537127,539747,540843,625182,732621,797832,946543,814662,580307,541453,476415,293348
125,22796,4455,1232,1316,16584,43562,74340,175305,256875,161839,134652,134369,145682,150234,155490,171448,195743,203034,222990,207220,153840,137821,124500,80500
126,15076,1245,276,0,12471,26990,56485,144206,259576,249473,194350,146343,167212,170516,156004,172974,190779,201708,201622,136804,119661,114486,107561,69227
128,13352,1750,1056,1060,5855,27173,47388,109384,121636,89182,70498,63961,70035,73439,69364,76713,89812,91894,100448,91032,67886,58733,55438,35964
129,95045,18288,6838,4048,54114,117229,211835,472277,640659,472499,391251,381928,407780,444682,441353,493406,561167,594279,683655,589653,441757,407943,421696,266258
130,5860,1482,231,12,2580,5707,14918,37658,40170,24791,18041,15880,17693,17902,17782,20399,27217,28888,33444,29250,20960,18931,19703,12729
131,5719,655,46,0,2056,12956,29258,71809,99891,69778,51908,49071,50967,56054,54111,60530,73210,74675,86696,70315,50407,48788,47858,25956
132,69693,15557,2740,3009,18130,94203,247976,572583,1047196,710819,469553,426960,453082,492714,492675,533467,611042,714253,963548,661769,475192,450431,424658,207915
133,14563,2389,1187,1074,10877,35132,73227,180404,249572,171173,126835,117757,123875,129765,123257,138039,154021,169888,203979,163130,115147,110888,102846,56652
134,15349,588,85,119,13324,41069,80461,207861,251874,175689,136224,133623,146356,150999,152238,175050,203478,206888,240328,197336,148863,137770,129229,75070
135,134395,19776,10002,7797,65770,222967,399277,945385,1272039,867552,630686,587010,669840,710157,686210,761406,859140,990406,1208872,984805,735892,747162,723513,448233
136,25575,10813,7752,6792,9998,39609,50888,93774,158496,111162,85211,79532,89316,98347,100941,111806,122099,137174,165079,140557,111445,109363,105565,69304
137,60692,16386,6148,3649,26409,72593,132130,320663,515992,361549,314148,293207,306022,322268,320072,353060,412483,430542,462949,370413,281320,276046,271267,161893
138,20775,2342,1545,1083,8055,41694,77616,218026,355738,234745,178611,161813,169526,186546,183715,202836,229978,258893,327490,246182,184593,179680,173326,103645
139,27370,10301,2677,5180,15004,22755,51220,149559,156549,110473,87426,80667,84459,89838,90595,101433,119382,126787,141191,126999,88528,80090,76011,53738
140,17008,5601,3292,2948,12605,25767,46273,127725,152410,106454,85404,82476,89552,95803,91390,103213,118627,122156,134156,118712,89541,80980,75570,47884
141,57588,9628,0,0,15417,94982,137953,292280,387376,322412,273946,309142,343980,371375,378048,426938,481757,472076,499019,426831,341693,314927,295507,151657
142,25291,4543,984,616,19006,40929,85530,215894,271029,188662,157574,147980,156910,161169,162670,179132,211870,212155,230830,198840,146898,129826,123329,77730
143,18296,3103,356,108,6039,25146,58965,126082,246098,189950,113419,97848,104061,113877,113614,124731,147556,169146,217632,149446,104294,92490,79211,46096
144,15039,0,0,295,17849,36305,61005,159739,162787,108002,89846,82946,90040,89254,90494,101833,132350,116395,121626,113246,85403,72399,68743,46845
145,76792,21524,19800,19384,20508,71307,130546,271670,478472,361095,262464,250120,289848,314663,318123,334216,375193,442750,552299,447873,329687,328747,331783,218698
146,36964,1957,1869,1690,43415,92686,134078,291270,356838,266648,210088,200568,210696,218189,217407,252421,284620,295737,332613,310291,226489,205213,186693,122200
