클러스터,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,월
87,6290,1,0,0,49,8087,22523,59431,97416,60012,41168,39283,41181,44023,41728,44994,49734,60721,85217,65321,42185,38679,35529,20775,2019-01
89,14139,15,0,0,1975,24757,59010,127879,176631,109106,83047,80967,88129,90302,88167,95800,108769,130191,166289,152476,95099,83489,77859,49525,2019-01
90,74070,1096,8,0,4386,152681,211889,439176,1053694,795455,694149,754272,841870,941848,998690,1019234,1000089,1119693,1260332,935733,631632,535801,469578,319238,2019-01
92,10405,412,0,0,130,12429,37671,115806,256114,121461,61249,54369,57960,62055,60638,65407,74121,113346,230603,128661,72004,65463,55398,32562,2019-01
94,18916,6,4,0,118,25508,66870,167282,259876,181882,145606,138830,152524,176020,172948,181460,197454,214956,280290,222040,140304,124832,110338,62736,2019-01
95,12558,159,0,0,47,28197,66419,151970,227923,124923,84232,77123,78987,83938,79799,89292,98774,119726,172802,131507,82109,78493,71871,43022,2019-01
97,14431,255,0,0,137,15081,61229,176923,520903,380757,189803,160658,162342,198450,189420,203427,245006,291763,504176,284279,170222,166618,143509,62198,2019-01
98,6068,1011,0,0,17,13776,30703,90725,133749,72669,43851,42935,44857,48073,45112,50233,55851,68194,98613,81560,49188,47745,40135,26047,2019-01
99,11479,0,0,0,175,24882,50940,141720,194042,106984,70583,68246,70882,73249,71467,77317,89941,109299,168292,145327,88361,77177,72712,42453,2019-01
101,7680,36,0,0,104,6958,30242,71326,156730,80998,56360,58052,64618,70612,67956,71280,78166,107038,169162,90644,61498,60748,52942,33366,2019-01
103,10579,384,0,0,96,17932,40481,96699,154786,101064,66248,61978,66339,71053,67094,73556,80298,95254,126441,107577,69168,66982,62430,36405,2019-01
104,8829,51,0,0,152,28803,47407,118350,159449,93728,66825,67437,73998,77970,76390,80693,89558,106714,150003,126455,75386,68457,58704,34754,2019-01
105,6865,61,0,0,8,5934,21570,53426,121545,84916,53617,49444,52431,58551,57419,59562,64499,82001,126920,75513,50339,49745,45964,24268,2019-01
106,17193,969,0,0,111,20591,65257,158098,410370,220425,124462,119642,125883,136266,133056,140034,152223,195347,363758,189074,122996,116521,102342,59495,2019-01
108,43220,1538,0,0,374,47502,115526,252274,385118,307278,252726,249944,283480,312968,318480,339298,358666,400572,515080,441762,303174,261924,242206,149918,2019-01
109,15914,267,0,0,104,13918,38167,108564,190965,131565,77623,68930,76388,80473,76870,81752,89895,111786,166238,141691,93379,87786,87475,55313,2019-01
110,7632,346,0,0,189,12787,45948,113598,198300,127365,103643,85794,103657,101940,88852,107966,123780,147233,208810,133773,101995,80032,77480,37917,2019-01
114,10209,537,0,1,5,15157,41181,103688,127178,67491,51945,50507,56588,56658,55505,59741,65489,76081,107920,91318,57587,51205,48437,28536,2019-01
115,42076,724,0,0,362,47064,103691,277203,426771,272875,167971,160220,173923,182557,178046,196581,219966,269163,391017,371594,238919,228011,222560,144421,2019-01
116,3023,0,0,0,1,4656,13965,38591,59551,32757,21087,20891,22363,22620,21283,23358,25023,30371,46096,35071,21889,20166,19517,10610,2019-01
119,5195,45,0,0,8,9639,19574,49378,77754,43721,29636,27571,30250,30878,29512,32078,36316,45279,60877,56068,34089,30627,29267,17705,2019-01
125,13783,6,4,0,66,26892,71578,174491,247386,165873,124891,120183,135338,140283,138382,151409,165869,187565,241707,209732,141800,116109,105288,62031,2019-01
129,7640,0,0,0,10,10826,36659,102159,131990,81939,57526,55507,60471,64877,62553,64070,71890,86760,115025,97495,62156,55327,54608,34677,2019-01
131,2068,0,0,0,0,3907,13514,34961,55683,32450,23718,24068,26833,28697,28353,30219,32227,39646,54325,40224,25015,22166,20424,11143,2019-01
132,7640,59,2,0,151,8818,52245,138514,331025,187574,108347,102896,103332,119760,117370,122797,129025,192735,325445,185947,117249,113171,87806,39422,2019-01
135,37243,3768,1,0,3184,48411,81835,219977,335892,207319,163809,164106,184872,196361,190805,204108,220587,271209,400894,303482,198647,195017,173577,104878,2019-01
136,10232,15,0,0,12,13699,41053,82972,166831,113197,75938,70640,84555,88342,81607,88976,97312,115628,146866,108401,71498,66145,62567,37920,2019-01
138,31222,621,2,0,384,29757,87349,273059,704800,353617,203888,207010,216213,229176,229028,239135,265786,367792,705378,370710,238543,231760,203413,116160,2019-01
139,9626,1236,0,0,155,12236,39692,114265,97457,66745,62242,53210,53096,56673,58416,59476,60099,62286,72464,73983,44929,38668,35562,25216,2019-01
140,6906,1,0,0,46,7739,18022,48742,74373,42411,31400,30707,34877,36112,35076,37829,42071,50789,67645,59635,37284,33130,30435,21325,2019-01
141,29933,240,0,0,365,43132,201427,395951,677134,691437,631463,744137,779902,815910,852759,922134,974377,1084370,1172703,906551,737404,574526,424238,183492,2019-01
145,44058,752,0,0,364,38038,107178,242972,489828,334316,226882,232544,264804,299734,297144,308788,356284,456338,701380,514046,328960,342772,324878,188986,2019-01
147,47435,2220,1,0,206,49053,179785,455233,894168,627353,440393,462860,480477,524086,533872,577233,627607,754738,1082426,750867,538577,487309,428066,206675,2019-01
149,9178,214,0,0,47,11814,69139,307410,499477,181445,95360,104131,100094,118484,114757,124924,142567,268882,487999,211923,137631,129012,95227,39838,2019-01
150,6002,1,0,0,16,8224,18714,49433,90171,50194,33426,29972,34240,35203,33322,33544,38033,44574,63458,48882,31860,28938,30187,18840,2019-01
151,6801,459,0,0,191,7831,50420,95419,279085,299752,168339,159820,153489,170883,179094,188866,199902,243369,352037,256224,171487,122663,98367,40508,2019-01
152,8435,1,0,0,86,12349,35128,92065,133237,84422,65856,63837,68744,69385,68235,73867,80272,91223,117254,97597,62307,55171,50469,30856,2019-01
