,클러스터,연도_분기,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균기온(℃),강수량(mm),공휴일 수,Unnamed: 0,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
1262,108,20193,224575,22198,12770,7955,40086,271664,605878,1351529,1811065,1451222,1232340,1215340,1364572,1479689,1483321,1553679,1750469,1906648,2347032,1945712,1422240,1286271,1267064,740810,25.23333333,524.7,4,609,10897079603,464256,7243405804,3653673799,1483508877,1331536987,1520231709,1525781673,1382346558,1960009616,1693664183,241978215,786619244,2252822993,3018025537,3676442581,921191033,5304490638,5429979037,58620730,1150564943,2118264665,2767097837,2858893974,1781027533,337697,126559,74989,65672,67054,65343,64639,67291,59268,23914,59479,79464,90134,153684,57581,245022,214904,10253,73743,92482,110377,99054,74014
1263,108,20194,237866,24938,13804,9089,40211,273777,601535,1327254,1841112,1530620,1277169,1253100,1413196,1529685,1543103,1668067,1848156,2008037,2397814,1969927,1458523,1301437,1268230,781759,8.466666667,156.9,3,861,12364858049,481201,8102561523,4262296526,1468305863,1931537104,1353652159,1254002448,2095063949,2236279523,2026017003,272207439,787607610,2984476576,2974613240,4371822988,974130196,5231701107,6942544757,61128052,1207799488,2679663565,2922664046,2967928791,2335061928,342603,138598,69293,73674,64558,63676,71402,74451,64147,23583,53901,87846,103893,154848,57130,243240,233542,10708,76001,100413,111432,106816,71408
1264,108,20231,154390,16790,8860,7169,29874,234870,496079,1113181,1609127,1274294,1055768,1067756,1201194,1277971,1288075,1385128,1531935,1709908,2055069,1608919,1144268,1019520,935858,532956,3.533333333,59.4,6,1113,11853356189,292037,7662635539,4190720650,1289334122,1595963601,1526527073,1640503836,1610306907,2400176663,1790543987,133876505,731193046,2871558604,3970228248,3647207727,499292059,5738797092,5839107574,35262185,510468219,1871523606,2380837094,3161120131,3618693430,207833,84204,39413,40979,41671,39824,45946,47899,36305,3524,27713,69624,80549,94650,15977,143402,144246,3600,20807,41707,52766,79968,88797
1265,108,20232,164219,18684,9975,8094,32467,265200,553445,1254082,1728799,1363592,1117915,1129964,1273466,1323277,1333020,1456310,1647205,1792261,2118300,1659564,1211036,1064665,993669,550946,18.9,448.1,4,1365,13760304091,315485,9455870479,4304433612,1837105922,1499988584,1897262965,1884254069,2337258939,2790419827,1514013785,120080000,777318870,3259485716,3645427148,5336131141,621861216,6075595177,7352375093,37485217,564316603,3708981995,2395325142,3081244317,3640616989,214992,100493,42760,41618,42442,40770,47402,59069,41424,4019,30418,73192,78452,109612,19792,152869,157955,4920,23522,49373,61685,84098,87227
1266,108,20233,158174,18242,10639,8246,34755,261930,549315,1209159,1716414,1354685,1122005,1149033,1291557,1343138,1336985,1450887,1629844,1799839,2133496,1655935,1203329,1061940,983787,538911,25.86666667,892.5,4,1617,12196408095,298148,7703583469,4492824626,1606916090,1888942177,1343833198,1445016525,1418875479,2536271959,1956552667,138038489,841863492,3071956201,3527913127,3953329986,663306800,6299658206,5324607779,25769531,542863701,1741423905,1692261719,4006238514,3615645218,208204,89944,41911,39792,41739,42080,42682,50590,39354,4790,30300,66720,69124,107145,20069,150027,144598,4237,24053,43779,52663,86252,83586
1267,108,20234,168065,21158,10867,8405,33256,262944,550427,1211094,1809119,1420505,1177341,1207928,1372346,1440520,1458007,1599710,1769345,1929390,2226360,1692701,1248012,1115037,1019595,584831,7.9,198.8,3,1870,12099780766,302389,6878641449,5221139317,1428579767,1292723034,1239759610,1642632563,1274946475,2946165815,2274973502,109131877,585637081,2816979145,4389888714,3386590434,811553515,5684674264,5285766497,29116436,583759575,1565021920,2738074339,2745145735,3309322754,207268,95121,40851,41192,40298,39769,45158,51134,43987,3965,26318,69738,82208,100836,19324,150587,147197,3896,25015,45719,53752,86179,83223
1268,108,20241,187263,20580,10540,8714,33417,272542,636010,1458209,2208021,1644551,1336516,1362359,1547999,1621262,1640621,1776809,1951869,2202601,2672673,2033008,1461183,1279557,1189825,673927,3.433333333,123.5,6,2123,12375152394,293022,7953113362,4422039032,1489050537,1277146678,1360822650,1913845660,1912247837,2842204081,1579834951,134188990,519176622,3012960783,3801605888,4299492153,607727958,6428496393,5602145029,18250289,868120510,1754246426,2630034636,3400606821,3359382752,205145,87877,39998,40405,38468,40643,45631,48422,39455,5263,23490,67818,79262,97713,19476,151411,136840,2242,20543,44330,47423,81160,92548
1269,108,20242,198420,23414,12066,10023,34488,289453,694725,1654119,2330967,1771919,1426019,1438332,1599685,1670303,1665968,1842421,2057492,2272627,2703739,2040425,1519774,1334990,1234064,690620,19.8,274.2,5,2376,10582777460,380292,6873970101,3708807359,1440550223,1137710653,1491261656,1292551896,1511895673,2229567577,1479239782,192078584,633633142,2204958857,2737669914,4091027879,723409084,5450027324,4922120170,23401428,643786622,1658688401,2095512330,2816344373,3134414345,265013,115279,50996,52334,53276,52519,55888,62189,53090,12886,39348,81035,81230,131460,34333,199873,176933,4502,31706,66873,66311,102737,104677
1270,108,20243,179566,22063,12249,9604,34341,280265,637224,1492385,2130522,1605204,1318781,1338480,1499988,1568164,1557120,1688734,1881535,2104461,2545529,1915461,1409180,1233873,1130675,622494,27.13333333,774,4,2629,8807268825,364164,5567081343,3240187482,1179572652,999259117,1099758082,1034111094,1254380398,1749554362,1490633120,159549522,582468540,2007235898,2233370262,3163078967,661565636,4386832692,4179869464,19005753,504590894,1395601068,1470034935,2240298157,2937171351,252259,111905,54302,48365,49258,47937,52397,60688,51217,13502,39969,75521,78063,123410,33699,192521,168305,3144,31436,64515,61652,97955,102123
1271,108,20244,179054,24731,14761,10211,33802,271578,562148,1260291,1850207,1466524,1232486,1280875,1428381,1502903,1526546,1657368,1833096,1976194,2285693,1736471,1301706,1157931,1039369,593229,9.066666667,139.7,3,2882,13608791900,356140,10051089192,3557702708,2141833255,2068379778,1650417359,1615037916,2575420884,2291218992,1266483716,128367550,563803665,2805951438,3052645454,5519028725,1538995068,7119716125,6135189689,15158241,577088164,1724148924,2177884569,5897371326,2863254587,250266,105874,48750,54133,48495,47505,51383,59192,46682,9758,35578,84937,85274,113373,27220,187335,164723,2414,29849,61454,58826,93952,105568
